name,description,theme,button_text,image_name
JIRA,Project Management Tool,,Launch,icon_jira.png
UX / UI,Mockups and Wireframes,,View,icon-compass.png
UAT,UAT Environment,,Go,icon-tested-ok.png
QA,QA Environment,,Go,icon-testing.png
Dev,Dev Environment,,Go,icon-pencil.png
Live,Production Environment,,Go,icon-tested-ok.png
Gotomeeting,Meeting Tool,,Launch,gotomeeting.jpeg
Source Code,Git - Version Control,,View,git.png
