name,city,state,country,pretty_url,image_name
Qwinix Technologies,Mysore,Karnataka,India,qwinix,qwinix_logo.png
6Kites,Denver,Colorado,United States,6kites,6kites_logo.jpeg
iBahn,Singapore City,,Singapore,ibahn,ibahn_logo.jpeg
Health One,Denver,Colorado,United States,healthone,healthone_logo.jpeg
Genie Networks,San Fransisco,California,United States,genie,genie_networks_logo.png
AMG,Denver,Colorado,United States,amg,amg_logo.jpeg
FreshJets,Denver,Colorado,United States,freshjets,freshjets_logo.png
